LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.2191977,42.9117453,25,VALLEY RD,,HAMPSTEAD,,NH,03841,000001000051000000,900e9f594767e04e
-71.2187437,42.9116528,21,VALLEY RD,,HAMPSTEAD,,NH,03841,000001000013000000,2dd87b3fa5dd4e83
-71.2181846,42.9116025,17,VALLEY RD,,CAMBRIDGE,,MA,02139,000001000012000000,502a6a2693872076
-71.2176273,42.9115508,15,VALLEY RD,,HAMPSTEAD,,NH,03841,000001000011000000,7258443e9afee992
-71.2170893,42.9114928,9,VALLEY RD,,HAMPSTEAD,,NH,03841,000001000010000000,531234304c5dfa96
-71.2162795,42.9114028,724,MAIN ST,,HAMPSTEAD,,NH,03841,000001000009000000,26861e74fa1765b0
-71.2158564,42.9117198,724,MAIN ST,,HAMPSTEAD,,NH,03841,000001000022000000,99374fc4ab3b4386
-71.2128966,42.9112812,,MAIN ST,,SANDOWN,,NH,03873,000001000032000001,d261ebbd4edce821
-71.2130363,42.9097638,707,MAIN ST,,HAMPSTEAD,,NH,03741,000001000032000000,617a5925bf8d0965
-71.2085387,42.91072,,CEMETERY RD,,SANDOWN,,NH,03873,000001000068000000,80ed0608b2cf8ba5
-71.2107628,42.9108415,,CEMETERY RD,,HAMPSTEAD,,NH,03841,000001000063000000,b93459a00fded4b0
-71.2062671,42.9103642,,CEMETERY RD,,SANDOWN,,NH,03873,000001000135000000,1462ab24b7189fdc
-71.2039855,42.9103881,36,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000133000000,7bf24c406451144a
-71.2189316,42.9107434,2,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000014000000,f909fdb427451649
-71.2016389,42.9107105,39,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000132000000,37e864c7b99e0554
-71.2157299,42.9105631,712,MAIN ST,,HAMPSTEAD,,NH,03841,000001000008000000,d1ef34525ac13623
-71.217937,42.9104841,4,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000006000000,f120c51263ba2fe8
-71.2169848,42.9104612,6,VALLEY RD,,HAMPSTEAD,,NH,03841,000001000007000000,23d877c5d34b52c2
-71.2051317,42.9050566,,MAIN ST,,CONCORD,,NH,03302,000001000044000000,f30d2996a10517e9
-71.1986562,42.9095675,220,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000094000000,7338927cc37c2a6f
-71.1988747,42.9106349,,DERRY RD,,NORTH ANDOVER,,MA,01845,000001000136000000,bb12d585fe543598
-71.1979707,42.9105086,,HAMPSTEAD RD,,SALISBURY,,MA,01952,000001000072000000,367dd81750e5cc48
-71.1967337,42.9095378,230,DEPOT RD,,HUDSON,,NH,03051,000001000095000000,ee4f5179c90922f8
-71.1971525,42.9103243,,HAMPSTEAD RD,,SALISBURY,,MA,01952,000001000073000000,a35a2729a7b4654a
-71.2013913,42.9103385,37,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000131000000,cabd9de44e6e7355
-71.2189233,42.910198,5,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000015000000,a083c8bb4bb22545
-71.2162471,42.9099848,700,MAIN ST,,HAMPSTEAD,,NH,03841,000001000060000001,8ba31a889a267671
-71.2013131,42.9097825,35,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000130000000,8842e9fbb0fadc2b
-71.2034709,42.9097732,32,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000134000000,0dfed563f32284a7
-71.2085382,42.9093446,72,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000112000000,4924db3b0ad2307d
-71.218858,42.9096792,9,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000016000000,f4b634f52cb6757d
-71.217656,42.9097483,10,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000004000000,925a6916e1f73953
-71.2074916,42.9090693,82,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000114000000,fd1df1a9bd4e3e4b
-71.2069266,42.9090291,88,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000115000000,498fd23772a01802
-71.216431,42.9094,690,MAIN ST,,HAMPSTEAD,,NH,03841,000001000060000000,9bff06207785c2f8
-71.2014684,42.9093258,33,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000129000000,95a03d003d25c6cf
-71.2063569,42.9089818,90,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000116000000,8ddb0e3012d2fc3a
-71.2099919,42.9088494,60,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000110000000,f1aeddf377587c5a
-71.2091567,42.9088198,64,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000111000000,b1035f37e7f4a772
-71.205815,42.9088307,100,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000117000000,866cc5f1b130f27b
-71.2052575,42.9084032,2,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000118000000,8ee4dc4a54885e8d
-71.2049348,42.9087717,6,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000119000000,db05c2931edc2cd9
-71.2044905,42.9089249,10,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000120000000,8430a2db7e596085
-71.203967,42.9090397,16,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000121000000,f7772a137fae8b29
-71.2032802,42.9091763,26,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000122000000,2d1796c3bb0380da
-71.2176173,42.9093243,14,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000003000000,65b9ae038618b646
-71.2107656,42.9086357,50,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000109000000,fd6ed758e2097905
-71.2189206,42.9091246,13,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000017000000,34a7f8ff810f94f3
-71.2016091,42.9088784,31,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000123000000,9de0ef6c30568b00
-71.2151534,42.9088507,687,MAIN ST,,HAMPSTEAD,,NH,03841,000001000062000000,240fd471006e086d
-71.1994345,42.908199,200,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000035000000,d6b6003a63faeb04
-71.1987566,42.9085441,210,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000093000000,caa03402604c3c86
-71.2176089,42.908714,18,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000002000000,55c5c2209f7be700
-71.2164808,42.9087111,686,MAIN ST,,HAMPSTEAD,,NH,03841,000001000089000000,ce9b32b3f6494a90
-71.2186725,42.9085893,17,ASHFORD RD,,HAMPSTEAD,,NH,03841,000001000001000000,ede573d658b8d38b
-71.2015961,42.9082364,25,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000124000000,9b95b32363babac0
-71.1950404,42.9080319,,KENT FARM RD,,HAMPSTEAD,,NH,03841,000010000001000000,98345e91440cafc6
-71.2114561,42.9082305,46,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000082000000,aadcede46ee6d4fe
-71.2161968,42.9080354,676,MAIN ST,,HAMPSTEAD,,NH,03841,000001000061000000,f777348d845f5e40
-71.2120469,42.9081175,40,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000081000000,8c0f5683e7d04601
-71.2021417,42.9078807,19,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000125000000,79b7851dd167c075
-71.1958804,42.9073607,225,DEPOT RD,,HAMPSTEAD,,NH,03841,000010000003000000,de6953dc896867d2
-71.1999108,42.9074624,190,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000092000000,492a929e9994f045
-71.2149607,42.9081657,2,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000078000000,8f4128ab2bc6ff2f
-71.2125936,42.908021,36,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000080000000,085115169fc67602
-71.2135177,42.9078956,20,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000079000000,2273bf647f505888
-71.2029131,42.9077383,15,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000126000000,9cccb1ab61b718e6
-71.1938005,42.9072293,376,KENT FARM RD,,HAMPSTEAD,,NH,03841,000010000002000000,72c951e757b089c9
-71.2180277,42.9075084,,MAIN ST,,BOSTON,,MA,02108,000001000071000000,1f814b5ba7e88e1a
-71.196946,42.9077363,217,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000052000001,e9b241742f4ae047
-71.2080159,42.9073387,79,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000106000000,9ea6bb4c8f9b44c4
-71.2089937,42.9069561,69,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000107000000,830c63775d2b9678
-71.2074817,42.9072743,89,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000105000000,901206bd37ceeeae
-71.1918465,42.9075424,373,KENT FARM RD,,CHESTER,,NH,03036,000010000007000000,d9d05deeae71d6fa
-71.2040065,42.9077009,5,APPLETON LN,,HAMPSTEAD,,NH,03841,000001000127000000,db03fab84cf04973
-71.2069397,42.9073198,91,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000104000000,f4a4e1a7f8a67c8b
-71.2097979,42.9075359,59,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000108000000,a86d1fd09211f279
-71.2064511,42.9072016,103,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000103000000,5bcff6029a5f4053
-71.1963804,42.9068231,211,DEPOT RD,,NO SALEM,,NH,03074,000001000052000000,1b4185c31083c26c
-71.2060914,42.9068985,107,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000102000000,7af53d2373771c4b
-71.197115,42.9062645,,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000036000000,20ebd2facdb789b1
-71.2106359,42.9069744,47,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000083000000,1d04cc159daa767e
-71.2148444,42.9074267,1,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000088000000,d93fef8821546c13
-71.2111927,42.9070116,41,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000084000000,f3102e3d8ad13ef2
-71.2163249,42.9073401,658,MAIN ST,,HAMPSTEAD,,NH,03841,000001000090000000,f9f0793ecb041c63
-71.2054882,42.9062192,117,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000101000000,cf551cc5f6a23f98
-71.2036254,42.9072056,130,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000128000000,1e3804bea6891fc3
-71.2119355,42.9069555,37,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000085000000,062dbf8c78c2a2c7
-71.201148,42.9068916,164,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000096000000,aa31e255672a37fa
-71.2133635,42.9068613,21,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000086000000,017e26201b45cac4
-71.1911691,42.9069509,357,KENT FARM RD,,HAMPSTEAD,,NH,03841,000010000009000000,6887c0d2abc3ae3d
-71.1898895,42.9068214,8,OWENS CT,,HAMPSTEAD,,NH,03841,000010000035000000,fe5bd9b234ec67bf
-71.2017591,42.9067259,160,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000097000000,f2b0ca4ea4ee1c99
-71.2023097,42.9065686,156,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000098000000,271dc1f3ca22143e
-71.1932072,42.9052685,,KENT FARM RD,,HAMPSTEAD,,NH,03841,000010000024000000,8cde2735c5869187
-71.202893,42.9065402,150,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000099000000,fa0c048fb0abc08e
-71.2149771,42.9068281,655,MAIN ST,,HAMPSTEAD,,NH,03841,000001000087000000,34c427cd94cd04b0
-71.2036682,42.9063771,140,BEVERLY DR,,HAMPSTEAD,,NH,03841,000001000100000000,7518413500b929fb
-71.2164786,42.9068176,654,MAIN ST,,HAMPSTEAD,,NH,03841,000001000021000000,1f72e98e3ccd7160
-71.1998332,42.905386,185,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000037000000,33977b39de2e9352
-71.1906676,42.9063826,4,OWENS CT,,HAMPSTEAD,,NH,03841,000010000034000000,1c65bd1c5bbfc10d
-71.2176641,42.9058864,640,MAIN ST,,BOSTON,,MA,02108,000001000034000000,83f13dbceb5456e0
-71.2166048,42.9063613,648,MAIN ST,,HAMPSTEAD,,NH,03841,000001000033000000,60a6c18948bd4ba5
-71.1886574,42.905959,15,OWENS CT,,HAMPSTEAD,,NH,03841,000010000005000000,8f4aeb4ecc2b24c2
-71.2133462,42.9057643,651,MAIN ST,,WASHINGTON,,DC,20011,000001000091000000,1d8e5c1d7ade4f57
-71.2101241,42.9054209,647,MAIN ST,,WASHINGTON,,DC,20011,000001000091000001,470301aa9718502a
-71.2081616,42.9055374,647,MAIN ST,,WAHINGTON DC,,DC,20011,000001000091000002,5c8912c26bb7e4d9
-71.1864156,42.9054848,20,OWENS CT,,HAMPSTEAD,,NH,03841,000010000039000000,0ca8bab87b0d0bab
-71.1895472,42.9051727,3,OWENS CT,,PLAISTOW,,NH,03865,000010000036000000,391ce7b3b0c35128
-71.1906653,42.9054421,1,OWENS CT,,HAMPSTEAD,,NH,03841,000010000033000000,c123be5e5cb9b9cb
-71.188287,42.9053496,27,OWENS CT,,ATKINSON,,NH,03811,000010000040000000,0551f506168427fc
-71.196989,42.903785,,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000048000000,5b9c48b79008433c
-71.2156131,42.9054235,641,MAIN ST,,HAMPSTEAD,,NH,03841,000001000049000000,b5fe207ff614c299
-71.2038727,42.9050589,155,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000038000000,ddf7fc1d8ce96048
-71.2033808,42.9040305,,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000039000000,6fd66336f09b240c
-71.2053895,42.9050651,119,DEPOT RD,,HAMPSTEAD,,NH,03841,000001000024000000,edd889f19e809330
