LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-71.3630463,42.9566898,0024,GREY POINT AVENUE,,CHICAGO,,IL,60690,000001000012000002,7e6a73d408fc4fe4
-71.3596991,42.9598716,0008,GREY POINT AVENUE,,AUBURN,,NH,03032,000001000012000001,c9447dfee0c2ebee
-71.3574242,42.9620107,0360,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000013000001,39ca8a4480538e39
-71.3567836,42.9614147,0350,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000013000000,cf2526b86c9d2688
-71.3561211,42.9611537,0011,SONYA DRIVE,,AUBURN,,NH,03032,000001000013000002,65eeedfe438c228a
-71.3527908,42.9604659,0298,RATTLESNAKE HILL RD,,MANCHESTER,,NH,03103,000001000015000001,2e08715ca9953014
-71.3519888,42.9605702,0009,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000005,4d543e0662c55282
-71.3508414,42.960488,0008,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000004,6eab6c1ccc752617
-71.3498568,42.9607144,0248,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000015000003,48daea59beaf0795
-71.3492767,42.9614128,0236,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000015000002,d8a7c140b9d9612d
-71.3533611,42.9616737,0048,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000011,b974637cbe970624
-71.355319,42.9607057,0010,SONYA DRIVE,,AUBURN,,NH,03032,000001000014000002,aea7f674ebe3ffe6
-71.3546952,42.9617225,0026,SONYA DRIVE,,AUBURN,,NH,03032,000001000015000012,88f8f03c6de90fc5
-71.3545338,42.9625278,0036,SONYA DRIVE,,AUBURN,,NH,03032,000001000015000013,cdadf8bccf21c553
-71.354944,42.9634968,0050,SONYA DRIVE,,AUBURN,,NH,03032,000001000015000014,cdff33406e347327
-71.3559094,42.9628166,0058,SONYA DRIVE,,AUBURN,,NH,03032,000001000015000015,07284c125f3cdfe6
-71.3563307,42.9622735,0025,SONYA DRIVE,,FT. WORTH,,TX,76108,000001000015000016,ef9965581955e1e4
-71.353084,42.9626931,0044,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000010,53ed6096419a0cac
-71.3515757,42.9624873,0040,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000009,176d0efc3cfb1697
-71.3506194,42.961867,0034,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000008,52d229ea7c2aaf17
-71.3507803,42.9612882,0028,MATTHEW DRIVE,,AUBURN,,NH,03032,000001000015000007,d528ce2f7e9672b0
-71.3547362,42.9604668,0322,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000014000001,db502f42349301d7
-71.3531741,42.9589007,0299,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000008,514e51e8f97defde
-71.3526374,42.958974,0295,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000007,7085079765e75cff
-71.3521122,42.9590229,0291,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000006,518a493c609bfddd
-71.3515752,42.9590621,0281,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000005,9d842b4d6cd51378
-71.3510663,42.959049,0275,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000004,5d35271979a6e842
-71.3503226,42.9593382,0267,RATTLESNAKE HILL RD,,AUBURN,,NH,03032,000001000016000003,ef632661d34c0c51
-71.3495607,42.9595959,0065,NUTT ROAD,,AUBURN,,NH,03032,000001000016000002,0aa4d9f71948211a
-71.3490185,42.9595842,0059,NUTT ROAD,,AUBURN,,NH,03032,000001000016000001,f5e3a901c092559c
-71.3534222,42.9542293,0007,PRISCILLA LANE,,AUBURN,,NH,03032,000001000036000024,b05b6ed121fdf827
-71.3540406,42.9549974,0045,PRISCILLA LANE,,AUBURN,,NH,03032,000001000016000018,cbbc4642dc5a65a5
-71.3543232,42.9554277,,PRISCILLA LANE,,AUBURN,,NH,03032,000001000016000019,9676cf2680dad522
-71.3551529,42.9559629,0085,PRISCILLA LANE,,MANCHESTER,,NH,03101,000001000016000020,c157f4933538b85b
-71.354379,42.9562727,0081,PRISCILLA LANE,,WINDHAM,,NH,03087,000001000016000021,247bf9d75e1af45a
-71.3558638,42.9570966,0088,PRISCILLA LANE,,AUBURN,,NH,03032,000001000016000023,f8f4ff9f14c84f3c
-71.3550827,42.9573728,0082,PRISCILLA LANE,,BOSTON,,MA,02127,000001000016000022,e4451efb59b0657a
